,index,county,insecure_rate,child_pop,child_insecure_rate,child_insecure_pop,insecure_eligible,insecure_ineligible
0,0,Allen,0.152,"2,995",0.22899999999999998,690,0.78,0.22
1,1,Anderson,0.147,"1,972",0.228,450,0.7,0.3
2,2,Atchison,0.16899999999999998,"3,880",0.244,950,0.69,0.31
3,3,Barber,0.13699999999999998,"1,108",0.212,230,0.84,0.16
4,4,Barton,0.128,"6,637",0.213,"1,410",0.78,0.22
5,5,Bourbon,0.158,"3,719",0.24,890,0.87,0.13
6,6,Brown,0.138,"2,458",0.213,520,0.77,0.24
7,7,Butler,0.122,"17,220",0.187,"3,230",0.67,0.33
8,8,Chase,0.124,607,0.19699999999999998,120,0.72,0.28
9,9,Chautauqua,0.142,709,0.228,160,0.96,0.04
10,10,Cherokee,0.14400000000000002,"5,009",0.228,"1,140",0.75,0.25
11,11,Cheyenne,0.10300000000000001,590,0.17800000000000002,110,0.71,0.29
12,12,Clark,0.11800000000000001,528,0.188,100,0.93,0.07
13,13,Clay,0.12,"2,055",0.19899999999999998,410,0.65,0.35
14,14,Cloud,0.135,"2,065",0.203,420,0.91,0.09
15,15,Coffey,0.135,"1,892",0.212,400,0.59,0.41
16,16,Comanche,0.10800000000000001,442,0.18600000000000003,80,0.48,0.52
17,17,Cowley,0.142,"8,663",0.21,"1,820",0.76,0.24
18,18,Crawford,0.17,"8,578",0.21600000000000003,"1,850",0.77,0.23
19,19,Decatur,0.133,559,0.215,120,0.71,0.29
20,20,Dickinson,0.13,"4,674",0.195,910,0.67,0.33
21,21,Doniphan,0.134,"1,591",0.20800000000000002,330,0.64,0.36
22,22,Douglas,0.165,"21,998",0.18,"3,970",0.49,0.51
23,23,Edwards,0.09,682,0.17600000000000002,120,0.78,0.22
24,24,Elk,0.141,535,0.23199999999999998,120,0.67,0.33
25,25,Ellis,0.136,"6,208",0.17300000000000001,"1,070",0.62,0.38
26,26,Ellsworth,0.11900000000000001,"1,214",0.174,210,0.7,0.3
27,27,Finney,0.069,"11,559",0.174,"2,010",0.8,0.2
28,28,Ford,0.064,"10,598",0.177,"1,880",0.75,0.25
29,29,Franklin,0.134,"6,378",0.207,"1,320",0.67,0.33
30,30,Geary,0.172,"11,423",0.212,"2,420",0.67,0.34
31,31,Gove,0.109,599,0.174,100,0.91,0.09
32,32,Graham,0.129,498,0.203,100,0.69,0.31
33,33,Grant,0.044000000000000004,"2,479",0.157,390,0.87,0.13
34,34,Gray,0.086,"1,783",0.159,280,0.61,0.39
35,35,Greeley,0.078,272,0.15,40,1.0,0.0
36,36,Greenwood,0.139,"1,370",0.22399999999999998,310,0.88,0.12
37,37,Hamilton,0.068,766,0.161,120,0.85,0.15
38,38,Harper,0.12300000000000001,"1,391",0.193,270,0.55,0.45
39,39,Harvey,0.122,"8,740",0.193,"1,690",0.63,0.37
40,40,Haskell,0.077,"1,185",0.177,210,0.78,0.22
41,41,Hodgeman,0.096,418,0.159,70,0.39,0.61
42,42,Jackson,0.11199999999999999,"3,391",0.172,580,0.54,0.46
43,43,Jefferson,0.114,"4,446",0.183,810,0.57,0.43
44,44,Jewell,0.13699999999999998,586,0.23399999999999999,140,0.98,0.02
45,45,Johnson,,"45,152",0.151,"21,890",0.41,0.59
46,46,Kearny,0.077,"1,158",0.166,190,0.83,0.18
47,47,Kingman,0.11699999999999999,"1,729",0.185,320,0.52,0.48
48,48,Kiowa,0.121,560,0.172,100,0.81,0.19
49,49,Labette,0.161,"4,931",0.239,"1,180",0.76,0.24
50,50,Lane,0.106,394,0.184,70,0.42,0.58
51,51,Leavenworth,0.133,"19,102",0.187,"3,560",0.5,0.5
52,52,Lincoln,0.11599999999999999,731,0.193,140,0.79,0.21
53,53,Linn,0.146,"2,243",0.21,470,0.55,0.45
54,54,Logan,0.113,658,0.168,110,0.71,0.29
55,55,Lyon,0.139,"7,543",0.20600000000000002,"1,560",0.76,0.24
56,56,McPherson,0.10800000000000001,"6,716",0.165,"1,110",0.59,0.41
57,57,Marion,0.121,"2,637",0.185,490,0.57,0.43
58,58,Marshall,0.11599999999999999,"2,311",0.17600000000000002,410,0.62,0.38
59,59,Meade,0.10800000000000001,"1,130",0.19699999999999998,220,0.67,0.33
60,60,Miami,0.11800000000000001,"8,440",0.19,"1,600",0.48,0.52
61,0,Mitchell,0.126,"1,405",0.19399999999999998,270,0.74,0.26
62,1,Montgomery,0.165,"7,980",0.242,"1,930",0.82,0.18
63,2,Morris,0.113,"1,182",0.182,220,0.69,0.32
64,3,Morton,0.099,658,0.17300000000000001,110,0.56,0.44
65,4,Nemaha,0.12,"2,642",0.18100000000000002,480,0.57,0.43
66,5,Neosho,0.166,"4,112",0.272,"1,120",0.8,0.2
67,6,Ness,0.107,679,0.195,130,0.89,0.11
68,7,Norton,0.113,"1,038",0.18899999999999997,200,1.0,0.0
69,8,Osage,0.128,"3,869",0.18899999999999997,730,0.63,0.37
70,9,Osborne,0.14300000000000002,797,0.243,190,0.67,0.33
71,10,Ottawa,0.11,"1,454",0.18899999999999997,270,0.59,0.41
72,11,Pawnee,0.114,"1,317",0.16399999999999998,220,0.84,0.16
73,12,Phillips,0.115,"1,290",0.187,240,0.88,0.12
