,index,county,insecure_rate,child_pop,child_insecure_rate,child_insecure_pop,insecure_eligible,insecure_ineligible
0,0,Adair,0.182,"4,730",0.19,900,0.71,0.29
1,1,Andrew,0.109,"3,992",0.141,560,0.73,0.27
2,2,Atchison,0.129,"1,041",0.174,180,0.67,0.33
3,3,Audrain,0.149,"6,013",0.19899999999999998,"1,190",0.73,0.27
4,4,Barry,0.139,"8,181",0.21600000000000003,"1,770",0.88,0.12
5,5,Barton,0.16,"2,998",0.225,680,0.8,0.2
6,6,Bates,0.14300000000000002,"4,006",0.19699999999999998,790,0.83,0.17
7,7,Benton,0.146,"3,325",0.225,750,0.94,0.06
8,8,Bollinger,0.153,"2,724",0.22699999999999998,620,0.67,0.33
9,9,Boone,0.162,"35,459",0.152,"5,410",0.61,0.39
10,10,Buchanan,0.14800000000000002,"20,540",0.196,"4,020",0.68,0.32
11,11,Butler,0.172,"10,043",0.21899999999999997,"2,200",0.77,0.23
12,12,Caldwell,0.126,"2,195",0.175,380,0.67,0.33
13,13,Callaway,0.13,"9,638",0.174,"1,680",0.58,0.42
14,14,Camden,0.141,"8,226",0.215,"1,770",0.74,0.26
15,15,Cape Girardeau,0.154,"16,748",0.175,"2,940",0.65,0.35
16,16,Carroll,0.147,"2,063",0.201,410,0.63,0.38
17,17,Carter,0.162,"1,513",0.21600000000000003,330,0.79,0.22
18,18,Cass,0.111,"25,477",0.15,"3,820",0.59,0.41
19,19,Cedar,0.163,"3,327",0.20600000000000002,690,0.82,0.18
20,20,Chariton,0.134,"1,726",0.17300000000000001,300,0.83,0.17
21,21,Christian,0.115,"21,461",0.162,"3,490",0.72,0.28
22,22,Clark,0.14400000000000002,"1,597",0.195,310,0.75,0.25
23,23,Clay,0.113,"58,158",0.14300000000000002,"8,320",0.56,0.44
24,24,Clinton,0.115,"4,940",0.157,780,0.69,0.31
25,25,Cole,0.13699999999999998,"17,554",0.161,"2,820",0.62,0.38
26,26,Cooper,0.141,"3,882",0.17600000000000002,680,0.82,0.18
27,27,Crawford,0.155,"5,812",0.212,"1,230",0.82,0.18
28,28,Dade,0.14300000000000002,"1,609",0.213,340,0.88,0.12
29,29,Dallas,0.147,"3,917",0.21,820,1.0,0.0
30,30,Daviess,0.129,"2,153",0.185,400,0.88,0.12
31,31,DeKalb,0.14800000000000002,"2,158",0.187,400,0.65,0.35
32,32,Dent,0.16,"3,592",0.21,750,0.7,0.3
33,33,Douglas,0.153,"2,904",0.228,660,0.89,0.11
34,34,Dunklin,0.2,"8,104",0.255,"2,070",0.77,0.23
35,35,Franklin,0.124,"24,026",0.17300000000000001,"4,150",0.63,0.37
36,36,Gasconade,0.129,"3,172",0.18600000000000003,590,0.68,0.32
37,37,Gentry,0.131,"1,634",0.17800000000000002,290,0.75,0.25
38,38,Greene,0.153,"60,019",0.183,"10,970",0.73,0.27
39,39,Grundy,0.15,"2,417",0.204,490,0.77,0.23
